alpha_deg,lambda0,lambda0_residual,lambda,lambda_residual,lambda1,lambda1_residual,lambda2,lambda2_residual,lambda1_symmetry,lambda1_symmetry_residual,lambda1_D1_printed,lambda1_D1_printed_residual,lambda1_symmetry_error
85.0,-0.00808509751911497,1.9246368387904056e-11,-0.10353099118667405,8.560494327292112e-12,-0.09261747588484859,1.6060909546755653e-11,-0.10064302589905072,1.4459107522402093e-11,-0.09261747588484859,3.21226933941432e-11,,,0.0
86.0,-0.006468343114957156,3.805479195650996e-11,-0.08396111099716963,7.339294189750989e-11,-0.07647535861201829,2.24102333912235e-11,-0.08201063138568182,9.752608985148792e-12,-0.07647535861201829,4.481979370973832e-11,,,0.0
87.0,-0.004853158172590464,4.936597745169857e-11,-0.06385001673386415,6.090898342333076e-11,-0.059313571874489344,4.820478738398748e-11,-0.06268400923841605,1.6961106998059083e-13,-0.059313571874489344,9.640908904540169e-11,,,0.0
88.0,-0.0032378437212541938,1.5908399163960807e-11,-0.04317186124837944,9.352531941307857e-11,-0.04098608458158477,8.876274108088333e-11,-0.04261651686861721,8.373094944713437e-11,-0.04098608462926849,6.792675883576793e-11,,,4.768371808516747e-11
89.0,-0.0016206951635092464,2.6417430417681464e-11,-0.021898663736831712,3.861297840763821e-11,-0.021301710356742,4.3916810075692037e-11,-0.02174840090719532,3.213896001815018e-11,-0.021301710356742,8.783380034578514e-11,,,0.0
90.0,,,,,,,,,,,,,
91.0,-0.006910773411589544,1.962796082350532e-11,-0.0218190037042452,1.8009176563594457e-11,-0.021741448049363184,6.395590150480427e-11,-0.020168178236773436,5.3681491652031454e-11,-0.0217414480970469,9.82905221616644e-12,,,4.768371461572052e-11
92.0,-0.013705918119741749,8.562204764639425e-13,-0.04286306303678197,2.4526473808449047e-11,-0.04256885422995254,8.331741376601262e-11,-0.037328124716694666,6.779412101143301e-13,-0.04256885427763625,7.015663099291594e-11,,,4.7683711146273566e-11
93.0,-0.020368589457130402,5.073004473096776e-11,-0.06317589527212686,8.414843312171821e-12,-0.0625445828190854,4.6179050221337864e-11,-0.052447263561116605,7.789883321729363e-12,-0.0625445828190854,9.235858323790314e-11,,,0.0
94.0,-0.02688380367466553,3.502699129007136e-11,-0.0827970901006502,9.341044214170036e-11,-0.08172148685163164,4.307252688198759e-12,-0.06605098300034601,2.895488016019243e-11,-0.08172148685163164,8.613879791743995e-12,,,0.0
95.0,-0.033238284577086406,6.12531553256801e-12,-0.10176269850887472,2.7270614802801796e-11,-0.10014509175831357,4.7787062067844444e-11,-0.07846473988555464,6.024659937597932e-11,-0.10014509175831357,9.557478810109932e-11,,,0.0
96.0,-0.03942031513124115,5.624225564437868e-11,-0.1201057145757302,2.276905703910148e-11,-0.11785515259662487,2.1940360986349994e-11,-0.08990808472657302,2.1018492502022923e-11,-0.11785515259662487,4.3879950888114916e-11,,,0.0
97.0,-0.045419594128839794,3.91313804276594e-11,-0.13785647448988003,4.02750194306023e-11,-0.13488679490754996,4.401567652023708e-11,-0.10053830130321426,9.862965999474227e-11,-0.13488679490754996,8.803047180094836e-11,,,0.0
98.0,-0.05122710209984788,4.189883856531296e-11,-0.15504298695018107,6.629105250843814e-12,-0.15127137101971594,8.456457669531181e-11,-0.11047322477719197,1.419900308441413e-11,-0.15127137103163685,5.316209451822207e-11,,,1.1920908704610156e-11
99.0,-0.05683497628578606,6.28840330502145e-11,-0.17169121135247659,2.3784817865246666e-11,-0.1670371162965183,5.930775055090765e-11,-0.1198042474968749,3.252936808806339e-11,-0.16703711630247875,3.983289392772704e-12,,,5.960454352305078e-12
100.0,-0.06223639624649853,3.0903044012653424e-11,-0.187825293061045,9.248464494238107e-11,-0.18220966152147933,5.817745937775065e-11,-0.1286042345893229,6.798728247048302e-12,-0.18220966151551887,1.6968922794680097e-11,,,5.960454352305078e-12
101.0,-0.06742547943281696,8.660214906308639e-12,-0.2034677637755698,8.6484257255659e-12,-0.19681243987875385,7.236605412130892e-12,-0.13693259810359526,1.5750123427693552e-11,-0.19681243987875385,1.4474345333415073e-11,,,0.0
102.0,-0.0723971874880612,3.863741618315153e-11,-0.21863971364550883,3.5188872649083436e-11,-0.21086701501708827,9.47784697946652e-11,-0.14483868945672299,8.336720203061532e-12,-0.2108670150111278,3.699867495710052e-11,,,5.960454352305078e-12
