case_id,alpha_deg,material_index,sigma_prime,d_over_l,delta_prime,J_prime
alpha105_material2,105,2,-0.215,0.001469273906463,0.0005199314281226,0.000350135099350022
alpha105_material2,105,2,-0.2125,0.00140501198340852,0.000497191084555176,0.000334821171351894
alpha105_material2,105,2,-0.21,0.00134284977492399,0.00047519376622641,0.000320007615521488
alpha105_material2,105,2,-0.2075,0.00128274244955511,0.000453923608645712,0.000305683748305768
alpha105_material2,105,2,-0.205,0.00122464561333831,0.000433364902137191,0.000291838990407864
alpha105_material2,105,2,-0.2025,0.00116851531072544,0.000413502092166842,0.000278462867007416
alpha105_material2,105,2,-0.2,0.00111430802552142,0.000394319779674396,0.000265545007984048
alpha105_material2,105,2,-0.1975,0.00106198068183572,0.000375802721409972,0.000253075148144078
alpha105_material2,105,2,-0.195,0.00101149064504747,0.00035793583027565,0.000241043127450541
alpha105_material2,105,2,-0.1925,0.000962795722785138,0.000340704175672103,0.000229438891256618
alpha105_material2,105,2,-0.19,0.000915854165920698,0.000324092983850437,0.00021825249054258
alpha105_material2,105,2,-0.1875,0.000870624669579026,0.000308087638269365,0.000207474082156314
alpha105_material2,105,2,-0.185,0.000827066374162788,0.000292673679957895,0.000197093929057565
alpha105_material2,105,2,-0.1825,0.000785138866393334,0.000277836807883667,0.000187102400565988
alpha105_material2,105,2,-0.18,0.00074480218036804,0.000263562879327111,0.000177489972613111
alpha105_material2,105,2,-0.1775,0.000706016798634598,0.000249837910261613,0.000168247227998352
alpha105_material2,105,2,-0.175,0.000668743653282759,0.000236648075739842,0.000159364856649179
alpha105_material2,105,2,-0.1725,0.000632944127054064,0.000223979710286456,0.00015083365588557
alpha105_material2,105,2,-0.17,0.000598580054470112,0.000211819308297358,0.000142644530688882
alpha105_material2,105,2,-0.1675,0.000565613722979957,0.000200153524445726,0.000134788493975279
alpha105_material2,105,2,-0.165,0.000534007874127232,0.000188969174095026,0.000127256666873871
alpha105_material2,105,2,-0.1625,0.000503725704737648,0.000178253233719225,0.00012004027900969
alpha105_material2,105,2,-0.16,0.000474730868127521,0.00016799284133046,0.000113130668791699
alpha105_material2,105,2,-0.1575,0.000446987475334046,0.000158175296914387,0.000106519283705964
alpha105_material2,105,2,-0.155,0.000420460096368034,0.000148788062873492,0.000100197680614189
alpha105_material2,105,2,-0.1525,0.000395113761489895,0.000139818764478621,9.41575260577931e-05
alpha105_material2,105,2,-0.15,0.000370913962509679,0.000131255190329024,8.83905965677117e-05
alpha105_material2,105,2,-0.1475,0.000347826654112015,0.000123085292821213,8.28887789801384e-05
alpha105_material2,105,2,-0.145,0.000325818255206861,0.000115297188626948,7.76440707584144e-05
alpha105_material2,105,2,-0.1425,0.000304855650307,0.000107879159180694,7.26485803212929e-05
alpha105_material2,105,2,-0.14,0.000284906190933281,0.000100819651176893,6.78945273778147e-05
alpha105_material2,105,2,-0.1375,0.000265937697048666,9.41072770774276e-05,6.3374243269048e-05
alpha105_material2,105,2,-0.135,0.000247918458522173,8.77308156296677e-05,5.90801713169548e-05
alpha105_material2,105,2,-0.1325,0.000230817236623922,8.16792123955209e-05,5.50048671806654e-05
